"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G55002500005062","550250005062","52","4"
"G55002500006001","550250006001","53","4"
"G55002500006002","550250006002","60","5"
"G55002500006003","550250006003","51","4"
"G55002500006004","550250006004","51","4"
"G55002500007001","550250007001","10","1"
"G55002500007002","550250007002","28","1"
"G55002500007003","550250007003","16","1"
"G55002500008001","550250008001","35","2"
"G55002500008002","550250008002","26","1"
"G55002500008003","550250008003","32","2"
"G55002500009011","550250009011","11","1"
"G55002500009012","550250009012","11","1"
"G55002500009021","550250009021","24","1"
"G55002500009022","550250009022","17","1"
"G55002500009023","550250009023","27","1"
"G55002500009024","550250009024","20","1"
"G55002500010001","550250010001","21","1"
"G55002500010002","550250010002","23","1"
"G55002500011011","550250011011","49","4"
"G55002500011012","550250011012","50","4"
"G55002500011013","550250011013","49","4"
"G55002500011014","550250011014","49","4"
"G55002500011021","550250011021","GQ","GQ"
"G55002500011022","550250011022","GQ-PH","GQ-PH"
"G55002500012001","550250012001","40","2"
"G55002500012002","550250012002","27","1"
"G55002500012003","550250012003","18","1"
"G55002500012004","550250012004","31","1"
"G55002500013001","550250013001","27","1"
"G55002500013002","550250013002","44","3"
"G55002500014011","550250014011","67","7"
"G55002500014012","550250014012","58","5"
"G55002500014013","550250014013","69","7"
"G55002500014014","550250014014","67","7"
"G55002500014021","550250014021","26","1"
"G55002500014022","550250014022","37","2"
"G55002500014023","550250014023","80","9"
"G55002500014024","550250014024","36","2"
"G55002500014041","550250014041","15","1"
"G55002500014042","550250014042","55","5"
"G55002500014043","550250014043","46","3"
"G55002500014051","550250014051","33","2"
"G55002500014052","550250014052","43","3"
"G55002500015011","550250015011","42","3"
"G55002500015012","550250015012","55","5"
"G55002500015021","550250015021","55","5"
"G55002500015022","550250015022","55","5"
"G55002500015023","550250015023","55","5"
"G55002500015024","550250015024","55","5"
"G55002500016031","550250016031","51","4"
"G55002500016032","550250016032","QDI","QDI"
"G55002500016033","550250016033","51","4"
"G55002500016041","550250016041","QDI","QDI"
"G55002500016042","550250016042","QDI","QDI"
"G55002500016043","550250016043","GQ","GQ"
"G55002500016044","550250016044","47","3"
"G55002500016051","550250016051","49","4"
"G55002500016052","550250016052","43","3"
"G55002500016061","550250016061","49","4"
"G55002500016062","550250016062","48","4"
"G55002500016063","550250016063","GQ-PH","GQ-PH"
"G55002500016064","550250016064","GQ-PH","GQ-PH"
"G55002500017041","550250017041","27","1"
"G55002500017042","550250017042","33","2"
"G55002500017043","550250017043","29","1"
"G55002500017044","550250017044","GQ","GQ"
"G55002500017061","550250017061","1","1"
"G55002500017062","550250017062","1","1"
"G55002500017063","550250017063","1","1"
"G55002500017071","550250017071","QDI","QDI"
"G55002500017072","550250017072","61","6"
"G55002500018021","550250018021","26","1"
"G55002500018022","550250018022","14","1"
"G55002500018023","550250018023","32","2"
"G55002500018041","550250018041","83","9"
"G55002500018042","550250018042","37","2"
"G55002500018043","550250018043","45","3"
"G55002500019011","550250019011","45","3"
"G55002500019012","550250019012","21","1"
"G55002500019013","550250019013","31","1"
"G55002500019014","550250019014","30","1"
"G55002500019021","550250019021","26","1"
"G55002500019022","550250019022","40","2"
"G55002500020001","550250020001","63","6"
"G55002500020002","550250020002","50","4"
"G55002500020003","550250020003","22","1"
"G55002500020004","550250020004","47","3"
"G55002500021001","550250021001","69","7"
"G55002500021002","550250021002","62","6"
"G55002500021003","550250021003","47","3"
"G55002500021004","550250021004","49","4"
"G55002500022001","550250022001","56","5"
"G55002500022002","550250022002","62","6"
"G55002500022003","550250022003","61","6"
"G55002500023011","550250023011","64","6"
"G55002500023012","550250023012","43","3"
"G55002500023021","550250023021","39","2"
"G55002500024011","550250024011","52","4"
"G55002500024012","550250024012","52","4"
"G55002500024013","550250024013","49","4"
"G55002500024021","550250024021","50","4"
"G55002500024022","550250024022","51","4"
"G55002500025001","550250025001","45","3"
"G55002500025002","550250025002","44","3"
"G55002500026011","550250026011","63","6"
"G55002500026012","550250026012","64","6"
"G55002500026021","550250026021","48","4"
"G55002500026022","550250026022","62","6"
"G55002500026023","550250026023","55","5"
"G55002500026024","550250026024","40","2"
"G55002500026031","550250026031","59","5"
"G55002500026032","550250026032","43","3"
"G55002500026033","550250026033","45","3"
"G55002500027001","550250027001","51","4"
"G55002500027002","550250027002","59","5"
"G55002500027003","550250027003","57","5"
"G55002500028001","550250028001","52","4"
"G55002500028002","550250028002","41","3"
"G55002500029001","550250029001","50","4"
"G55002500029002","550250029002","51","4"
"G55002500029003","550250029003","50","4"
"G55002500030011","550250030011","38","2"
"G55002500030012","550250030012","37","2"
"G55002500030013","550250030013","48","4"
"G55002500030014","550250030014","51","4"
"G55002500030015","550250030015","50","4"
"G55002500030021","550250030021","51","4"
"G55002500030022","550250030022","45","3"
"G55002500031001","550250031001","42","3"
"G55002500031002","550250031002","44","3"
"G55002500031003","550250031003","36","2"
"G55002500031004","550250031004","39","2"
"G55002500032001","550250032001","31","1"
"G55002500101001","550250101001","7","1"
"G55002500101002","550250101002","5","1"
"G55002500102001","550250102001","7","1"
"G55002500103001","550250103001","25","1"
"G55002500103002","550250103002","38","2"
"G55002500103003","550250103003","35","2"
"G55002500104001","550250104001","28","1"
"G55002500104002","550250104002","23","1"
"G55002500104003","550250104003","39","2"
"G55002500105011","550250105011","31","1"
"G55002500105012","550250105012","37","2"
"G55002500105031","550250105031","27","1"
"G55002500105032","550250105032","32","2"
"G55002500105041","550250105041","42","3"
"G55002500105042","550250105042","42","3"
"G55002500106001","550250106001","24","1"
"G55002500106002","550250106002","23","1"
"G55002500106003","550250106003","30","1"
"G55002500106004","550250106004","28","1"
"G55002500106005","550250106005","52","4"
"G55002500107011","550250107011","19","1"
"G55002500107012","550250107012","32","2"
"G55002500107013","550250107013","24","1"
"G55002500107021","550250107021","22","1"
"G55002500107022","550250107022","31","1"
"G55002500107023","550250107023","36","2"
"G55002500107024","550250107024","15","1"
"G55002500107025","550250107025","30","1"
"G55002500108011","550250108011","34","2"
"G55002500108012","550250108012","39","2"
"G55002500108013","550250108013","25","1"
"G55002500108014","550250108014","26","1"
"G55002500108021","550250108021","30","1"
"G55002500108022","550250108022","21","1"
"G55002500109031","550250109031","16","1"
"G55002500109032","550250109032","20","1"
"G55002500109033","550250109033","18","1"
"G55002500109051","550250109051","36","2"
"G55002500109052","550250109052","40","2"
"G55002500109053","550250109053","17","1"
"G55002500109054","550250109054","22","1"
"G55002500109061","550250109061","17","1"
"G55002500109062","550250109062","11","1"
"G55002500109071","550250109071","10","1"
"G55002500109072","550250109072","10","1"
"G55002500109081","550250109081","19","1"
"G55002500109082","550250109082","19","1"
"G55002500110001","550250110001","28","1"
"G55002500110002","550250110002","24","1"
"G55002500111011","550250111011","33","2"
"G55002500111012","550250111012","33","2"
"G55002500111013","550250111013","59","5"
"G55002500111014","550250111014","28","1"
"G55002500111031","550250111031","27","1"
"G55002500111032","550250111032","27","1"
"G55002500111033","550250111033","27","1"
"G55002500111034","550250111034","27","1"
"G55002500111041","550250111041","22","1"
"G55002500111042","550250111042","11","1"
"G55002500111043","550250111043","13","1"
"G55002500112011","550250112011","39","2"
"G55002500112012","550250112012","18","1"
"G55002500112021","550250112021","20","1"
"G55002500112022","550250112022","23","1"
"G55002500112023","550250112023","13","1"
"G55002500113011","550250113011","32","2"
"G55002500113012","550250113012","25","1"
"G55002500113013","550250113013","26","1"
"G55002500113021","550250113021","25","1"
"G55002500113022","550250113022","62","6"
"G55002500113023","550250113023","39","2"
"G55002500114031","550250114031","32","2"
"G55002500114032","550250114032","34","2"
"G55002500114041","550250114041","31","1"
"G55002500114042","550250114042","34","2"
"G55002500114043","550250114043","31","1"
"G55002500114044","550250114044","33","2"
"G55002500114051","550250114051","43","3"
"G55002500114052","550250114052","61","6"
"G55002500114053","550250114053","41","3"
"G55002500114061","550250114061","38","2"
"G55002500114062","550250114062","30","1"
"G55002500114071","550250114071","58","5"
"G55002500115041","550250115041","43","3"
"G55002500115042","550250115042","39","2"
"G55002500115051","550250115051","50","4"
"G55002500115052","550250115052","56","5"
"G55002500115053","550250115053","60","5"
"G55002500115061","550250115061","42","3"
"G55002500115062","550250115062","47","3"
"G55002500115063","550250115063","73","8"
"G55002500115071","550250115071","36","2"
"G55002500115072","550250115072","21","1"
"G55002500115081","550250115081","43","3"
"G55002500115082","550250115082","24","1"
"G55002500116001","550250116001","44","3"
"G55002500116002","550250116002","44","3"
"G55002500116003","550250116003","34","2"
"G55002500116004","550250116004","35","2"
"G55002500117001","550250117001","18","1"
"G55002500117002","550250117002","31","1"
"G55002500118001","550250118001","43","3"
"G55002500118002","550250118002","37","2"
"G55002500118003","550250118003","54","4"
"G55002500118004","550250118004","41","3"
"G55002500119001","550250119001","36","2"
